time;roundtrip_time [ms];bitrate [b/s];decoding-0 [ms];render-0 [ms];fps-0
26184;11;0
31184;10;0
36184;7;647608;6.26;7.51;31
41184;4;683313;6.15;4.64;30
46184;7;678682;5.9;4.02;30
51194;5;682003;6.08;4.15;30
56184;8;680219;6.23;3.97;30
61184;5;677841;6.08;3.8;30
66185;4;683231;6.1;3.63;30
71194;7;681282;6.35;3.47;30
76218;7;679737;6.2;3.54;30
81199;7;682435;6.14;3.43;30
86184;5;680151;6.49;3.7;30
91191;3;682876;6.22;3.22;30
96184;6;678180;6.33;3.49;30
101193;5;683053;6.31;3.52;30
106184;7;680233;6.4;3.29;30
111189;4;681962;5.97;3.04;30
116183;4;678844;6.32;3.35;30
121191;5;682999;6.46;3.26;30
126184;4;678817;6.12;3.23;30
131184;10;682153;6;3.07;30
136184;4;679606;6.25;3.21;30
141184;6;684408;6.21;3.15;30
146184;5;677435;6.4;3.32;30
151183;4;683874;5.57;2.73;30
156184;4;678682;6.25;3.03;30
161186;4;682958;6.11;3.18;30
166190;6;681092;6.29;3.29;30
171184;6;681476;6.22;3.14;30
176184;3;681772;6.61;3.51;30
181186;4;679497;6.07;3.07;30
186184;5;678519;6.19;3.1;30
191188;8;683012;6.08;3.24;30
196184;7;677746;6.32;3.14;30
201184;5;684285;6.69;3.3;30
206184;6;677476;6.46;3.22;30
211184;4;683682;6.19;3.11;30
216191;4;683067;6.19;3.09;30
221184;5;679946;6.63;3.4;30
226193;5;681418;6.07;2.96;30
231184;4;678899;6.58;3.22;30
236192;4;683532;6.09;3.14;30
241184;7;678559;6.38;3.18;30
246192;4;682671;6.45;3.41;30
251184;5;680383;5.94;3.05;30
256184;11;681636;6.62;3.17;30
261184;5;679946;6.63;3.23;30
266194;5;681853;6.23;3.14;30
271248;3;675113;6.58;3.09;30
276190;5;687511;6.02;3.15;31
281184;5;679511;6.5;3.3;30
286187;4;682507;6.37;3.2;30
291184;4;678831;6.71;3.25;30
296198;4;681676;6.37;3.13;30
301184;6;679960;6.57;3.08;30
306188;7;682876;6.56;3.14;30
311184;4;679157;6.2;3.19;30
316221;6;680660;7.35;3.58;30
321184;9;680036;5.88;2.93;30
326184;4;683040;6.73;3.46;30
331185;5;679266;6.52;3.22;30
336184;5;684148;6.73;3.33;30
341184;5;678505;6.41;3.15;30
346184;4;683190;6.39;3.12;30
351184;4;676746;6.74;3.36;30
356184;4;684751;6.37;3.24;30
361185;6;682753;6.57;3.42;30
366184;4;679619;6.82;3.34;30
371185;6;587826;5.73;3.06;26
376184;6;0;0;0;0
381184;6;0;0;0;0
386184;4;2138561;4.68;1.54;95
391184;5;681663;6.43;3.17;30
396184;5;680123;7.01;3.65;30
401194;4;681949;5.93;3.24;30
406184;5;678980;6.35;3.29;30
411184;4;678614;7.03;3.31;30
416184;5;683258;6.69;3.39;30
421197;6;682316;6.11;3.22;30
426184;6;679225;6.7;3.68;30
431199;5;682425;6.16;3.13;30
436184;4;679279;6.75;3.4;30
441193;5;683258;5.93;3.29;30
446184;7;678695;6.82;3.29;30
451202;16;674942;6.36;3.37;30
456184;4;688235;6.7;3.46;31
461184;3;682917;7.15;3.54;30
466184;6;677895;6.88;3.24;30
471188;3;683559;6;3.11;30
476184;4;678763;7.07;3.24;30
481185;4;683313;7.34;3.39;30
486184;5;678940;6.03;3.31;30
491184;4;682958;6.36;3.43;30
496184;4;677787;6.81;3.28;30
501184;10;684024;6.15;3.19;30
506184;5;677976;6.99;3.51;30
511184;5;683970;7;3.51;30
516184;4;677976;6.88;3.74;30
521184;5;683737;6.42;3.37;30
526184;7;682017;7.21;3.6;30
531184;5;679647;6.87;3.28;30
536184;5;678342;6.26;3.19;30
541184;5;683614;6.52;3.45;30
546184;5;678736;7.17;3.37;30
551184;5;683354;6.79;3.4;30
556184;4;682739;6.22;3.25;30
561184;3;678980;6.94;3.31;30
566185;5;681976;6.37;3.24;30
571184;4;679171;6.4;3.19;30
576194;4;681608;6.23;3.09;30
581184;5;680696;5.81;2.83;30
586185;3;683121;7.38;3.63;30
591184;5;677827;6.4;3.39;30
596196;5;682753;7.38;3.63;30
601184;4;680233;7.25;3.53;30
606193;5;680929;8.09;3.46;30
611184;4;680724;6.38;3.19;30
616184;3;683162;6.46;3.32;30
621184;4;678492;6.91;3.23;30
626188;5;682739;7.17;3.48;30
631184;4;678288;7.62;4.05;30
636243;8;684797;8.13;3.62;30
641184;5;676758;6.03;3.1;30
646189;7;683381;7.1;3.48;30
651184;3;679470;6.49;3.31;30
656184;4;682248;7.06;3.44;30
