time;encoding-4 [ms];roundtrip_time [ms];bitrate [b/s]
24868;120.1;10;-12956
28745;118.75;8;0
33768;103.72;5;0
38686;103.53;4;0
43715;105.85;5;0
48653;104.05;7;0
53653;104.92;10;0
58658;102.65;10;0
63710;108.98;9;0
68715;103.89;5;0
73672;106.72;4;0
78703;93.63;10;0
83770;104.19;4;0
88708;95.27;5;0
93650;101.91;5;0
98742;100.48;5;0
103702;108.66;6;0
108666;108.38;10;0
113628;97.88;4;0
118744;100.79;5;0
123703;99.94;6;0
128694;100.93;4;0
133690;113.52;7;0
138704;102.86;10;0
143725;97.38;5;0
148725;100.72;5;0
153719;105.49;5;0
158770;99.87;4;0
163711;101.62;5;0
168696;97.84;6;0
173751;105.96;4;0
178711;97.91;4;0
183667;101.96;5;0
188758;105.01;5;0
193650;107.69;11;0
198635;100.68;5;0
203662;103.42;6;0
208674;95.1;5;0
213725;99.64;5;0
218758;108.6;4;0
223689;105.55;4;0
228798;98.92;10;0
233611;101.35;5;0
238692;102.53;6;0
243659;98.07;5;0
248689;106.06;7;0
253698;104.86;5;0
258693;105.1;9;0
263760;104.09;5;0
268620;99.83;4;0
273767;95.91;12;0
278703;99.79;8;0
283719;100.89;7;0
288683;100.17;4;0
293759;96.39;6;0
298595;97.16;10;0
303655;102.39;3;0
308744;104.3;8;0
313719;98.32;4;0
318707;92.54;10;0
323711;98.72;8;0
328637;97.4;4;0
333651;97.21;5;0
338730;100.38;4;0
343644;101.09;4;0
348674;97.43;6;0
353730;106.29;8;0
358715;102.63;7;0
363699;102.68;5;0
368666;100.42;5;0
373668;105.41;5;0
378665;95.91;6;0
383725;102.41;5;0
388693;100.09;10;0
393642;101.74;5;0
398679;97.59;6;0
403744;100.38;4;0
408715;102.76;5;0
413700;105.61;9;0
418666;101.95;10;0
423688;101.44;9;0
428734;97.86;5;0
433655;108.52;10;0
438698;106.26;4;0
443721;106.55;4;0
448672;97.58;4;0
453726;104.25;5;0
458658;99.6;4;0
463715;97.96;5;0
468688;102.37;5;0
473746;99.91;8;0
478732;98.73;6;0
483631;103.02;5;0
488707;100.23;9;0
493716;108.14;10;0
498763;102.21;5;0
503643;102.83;5;0
508726;100.63;6;0
513689;106.05;6;0
518686;98.85;7;0
523662;107.38;11;0
528699;101.62;5;0
533725;103.17;9;0
538727;101.02;5;0
543705;102.92;5;0
548687;102.74;5;0
553725;101.14;5;0
558670;102.02;6;0
563674;101.07;4;0
568676;102.77;9;0
573711;104.3;4;0
578686;100.6;9;0
583667;94.19;4;0
588672;99.77;5;0
593773;100.33;5;0
598701;101.63;4;0
603712;103.07;5;0
608627;103.39;4;0
613691;102.43;4;0
618714;95.39;8;0
623662;95.59;8;0
628716;93.68;9;0
633778;94.23;4;0
638712;99.61;5;0
643735;91.58;28;0
648725;96.53;9;0
653774;108.01;11;0
658610;106;3;0
