time;encoding-7 [ms];roundtrip_time [ms];bitrate [b/s]
30448;117.64;9;-9752
35479;93.35;5;0
40571;98.56;5;0
45457;94.58;5;0
50462;89.57;4;0
55491;91.82;7;0
60405;87.58;5;0
65421;97.4;5;0
70475;93.92;5;0
75487;91.07;4;0
80460;96.31;8;0
85523;100.42;9;0
90370;86.61;4;0
95485;69.39;8;0
100535;101.53;6;0
105487;97.95;8;0
110447;93.78;5;0
115450;94.77;5;0
120537;100.45;4;0
125600;107.07;5;0
130510;99.39;9;0
135428;92.85;4;0
140466;95.41;6;0
145435;98.01;10;0
150439;93.02;9;0
155432;96.42;4;0
160497;95.81;5;0
165388;89.1;8;0
170482;92.86;8;0
175425;99.8;6;0
180516;94.09;4;0
185527;97.03;4;0
190490;94.48;8;0
195478;87.15;5;0
200463;94.89;5;0
205420;95.46;9;0
210461;95.89;5;0
215459;94.51;9;0
220500;99.56;6;0
225422;94.88;5;0
230456;95.32;5;0
235456;92.71;8;0
240504;95.98;5;0
245542;97.36;4;0
250474;95.05;6;0
255466;90.94;10;0
260508;99.59;7;0
265502;96.27;4;0
270403;98.63;9;0
275435;99.54;11;0
280478;93.33;6;0
285525;95.28;7;0
290442;93.15;4;0
295432;100.36;5;0
300415;88.9;4;0
305445;93.51;7;0
310445;96.63;5;0
315472;91.84;4;0
320436;92.05;4;0
325468;93.89;5;0
330375;48.36;5;0
335500;75.98;15;0
340478;68.39;3;0
345387;88.01;5;0
350506;93.31;4;0
355443;92.01;3;0
360542;96.57;7;0
365507;94.32;9;0
370460;95.89;4;0
375452;96.08;9;0
380536;94.49;9;0
385446;98.88;5;0
390411;93.98;5;0
395463;93.93;5;0
400460;92.72;5;0
405422;83.74;6;0
410432;84.84;5;0
415474;85.27;10;0
420482;85.81;6;0
425418;84.78;4;0
430424;89.74;5;0
435451;87.9;5;0
440413;88.79;9;0
445387;85.52;4;0
450431;83.7;9;0
455412;82.53;9;0
460518;86.29;4;0
465420;90.97;4;0
470405;87.4;8;0
475469;81.18;5;0
480451;82.63;9;0
485434;85.83;5;0
490441;84.41;7;0
495451;85.99;9;0
500458;87.64;8;0
505484;88.45;5;0
510460;86.74;5;0
515461;80.11;7;0
520426;87.05;4;0
525467;85.54;5;0
530425;83.93;5;0
535448;88.06;5;0
540443;87.43;5;0
545457;89.22;9;0
550406;86.84;5;0
555421;82.84;10;0
560491;85.68;4;0
565532;88.31;6;0
570423;87.12;6;0
575456;83.63;4;0
580452;84.21;5;0
585440;87.63;6;0
590490;79.49;5;0
595479;84.19;5;0
600440;83.9;6;0
605477;88.04;7;0
610381;84.47;5;0
615444;84.02;10;0
620457;83.39;4;0
625403;81.94;10;0
630447;78.27;5;0
635432;82.51;3;0
640486;86.53;6;0
