time;roundtrip_time [ms];bitrate [b/s];decoding-0 [ms];render-0 [ms];fps-0
40936;9;0
45936;6;75903;0.85;11.51;31
50935;5;83355;0.69;5.4;30
55934;7;83897;0.53;4.49;30
60934;3;83262;0.47;4.42;30
65934;4;83985;0.45;4.11;30
70934;4;83305;0.46;4.12;30
75946;4;83780;0.51;4.01;30
80935;4;83549;0.47;3.96;30
85935;5;83728;0.46;3.85;30
90934;5;83985;0.47;3.47;30
95934;3;83450;0.5;3.55;30
100934;5;83805;0.51;3.37;30
105935;6;83442;0.45;3.44;30
110935;4;83854;0.48;3.48;30
115934;6;83342;0.46;3.15;30
120934;6;83901;0.42;3.03;30
125936;5;83415;0.48;3.28;30
130939;8;83834;0.4;3.08;30
135937;4;83389;0.46;3.46;30
140939;5;83817;0.46;3.24;30
145934;5;83397;1;3.3;30
150937;6;83879;0.65;3.08;30
155934;3;83295;0.63;3.4;30
160934;4;84072;0.45;3.22;30
165934;6;83354;0.4;3.21;30
170934;8;83738;0.42;3.11;30
175934;4;83369;0.41;3.05;30
180938;8;83829;0.43;3.1;30
185934;7;83496;0.41;3.07;30
190934;5;83931;0.41;3.25;30
195934;8;83347;0.39;3.15;30
200935;4;83718;0.43;3.06;30
205934;4;83484;0.4;3.08;30
210934;5;84050;0.4;3.09;30
215935;8;83184;0.4;3.23;30
220934;5;84050;0.45;3.1;30
225934;5;83330;0.44;3.21;30
230937;5;83886;0.51;3.15;30
235934;8;83309;0.42;3.24;30
240936;6;83708;0.44;3.3;30
245934;5;83506;0.45;3.09;30
250936;4;83983;0.66;2.93;30
255934;9;83770;0.67;3.09;30
260937;6;83440;0.56;3.09;30
265934;4;83938;0.51;3.03;30
270934;4;83400;0.51;3.19;30
275934;6;83921;0.54;3.05;30
280934;6;83304;0.53;3.17;30
285940;10;83819;0.46;2.97;30
290934;7;83499;0.53;3.16;30
295939;5;83772;0.45;3.21;30
300935;5;83452;0.46;3.07;30
305936;4;83899;0.49;3.16;30
310934;3;83342;0.48;3.11;30
315940;7;83827;0.47;3.16;30
320934;5;83445;0.46;3;30
325939;3;83620;0.39;2.94;30
330936;5;83571;0.4;3.04;30
335935;5;83995;0.39;3.02;30
340934;5;83319;0.37;3.09;30
345934;4;83941;0.38;3.07;30
350934;4;83370;0.37;3.05;30
355934;5;83865;0.45;2.82;30
360934;4;83327;0.38;3.15;30
365934;4;83956;0.41;3.12;30
370934;3;83214;0.39;3.14;30
375934;4;84033;0.36;3.03;30
380934;7;83312;0.4;3.12;30
385934;5;83922;0.4;3.09;30
390934;3;83340;0.4;3.12;30
395935;6;83953;0.36;3.16;30
400934;4;83199;0.4;3.01;30
405935;5;83931;0.44;3.06;30
410934;4;83852;0.38;3.05;30
415934;5;83517;0.4;3.03;30
420934;5;83837;0.41;2.9;30
425934;6;83310;0.38;3.05;30
430935;4;83879;0.48;3.02;30
435934;5;83439;0.38;3.21;30
440939;4;83892;0.46;3.01;30
445935;5;83354;0.37;2.97;30
450936;8;83907;0.37;3.08;30
455934;3;83412;0.41;3.05;30
460934;4;83658;0.38;2.92;30
465935;6;83561;0.4;2.98;30
470939;5;83874;0.42;3.05;30
475934;4;83409;0.36;3.07;30
480937;4;83902;0.36;2.89;30
485936;4;83260;0.35;3.15;30
490938;6;83917;0.39;3.12;30
495934;5;83350;0.37;3.09;30
500934;7;84015;0.4;2.99;30
505936;5;83295;0.41;3.07;30
510939;5;83673;0.36;3.12;30
515934;6;83638;0.38;2.97;30
520934;6;83909;0.37;3.13;30
525935;5;83184;0.36;3.06;30
530934;4;84018;0.36;3.04;30
535934;7;83409;0.36;3.15;30
540935;4;83753;0.4;2.94;30
545934;5;83365;0.35;3.24;30
550934;3;84059;0.36;3.12;30
555936;4;83264;0.42;3.05;30
560935;4;83860;0.41;2.99;30
565934;5;83395;0.39;3.23;30
570938;4;83830;0.38;2.93;30
575935;7;83924;0.37;3.03;30
580934;5;83439;0.36;3.12;30
585934;4;83810;0.39;3.07;30
590934;4;83454;0.36;2.99;30
595935;10;83743;0.37;2.97;30
600935;4;83415;0.43;3.03;30
605934;4;83852;0.35;3.05;30
610934;3;83471;0.35;3.09;30
615934;4;83760;0.35;2.93;30
620934;5;83327;0.35;2.92;30
625936;6;84023;0.39;3.05;30
630934;4;83442;0.38;2.95;30
635937;5;83825;0.38;2.87;30
640934;6;83275;0.35;2.86;30
645936;7;84015;0.37;3.08;30
650934;5;83309;0.39;3.02;30
655941;5;83869;0.35;3.1;30
660936;6;83432;0.38;2.98;30
