time;roundtrip_time [ms];bitrate [b/s];encode_time [ms]
23435;11;0;0
28435;5;0;61.7
33435;5;0;56.48
38435;4;0;57.03
43435;5;0;56.77
48435;3;0;59.91
53435;4;0;53.55
58439;6;0;54.76
63435;5;0;56.7
68435;5;0;57.76
73436;4;0;54.54
78435;4;0;56.95
83435;7;0;54.47
88435;5;0;57.02
93438;5;0;56.41
98436;4;0;59.31
103435;5;0;56.8
108437;6;0;57.28
113435;5;0;57.48
118435;4;0;55.27
123435;5;0;55.98
128436;5;0;57.3
133435;5;0;58.26
138435;4;0;56.93
143435;12;0;56.72
148436;3;0;56.18
153435;3;0;51.11
158435;5;0;55.46
163440;5;0;60.11
168436;3;0;56.01
173435;4;0;57.2
178436;4;0;55.73
183435;5;0;56.78
188435;4;0;59.89
193435;4;0;52.79
198435;4;0;60.29
203435;5;0;58.85
208435;5;0;58.57
213435;4;0;55.55
218438;4;0;59.48
223435;7;0;57.14
228435;5;0;57.49
233435;4;0;56.86
238436;5;0;58.08
243435;5;0;55.56
248435;7;0;57.53
253435;4;0;57.15
258435;5;0;56.82
263435;6;0;55.11
268435;4;0;58.45
273435;4;0;53.51
278436;3;0;58.7
283435;5;0;56.69
288435;8;0;55.13
293435;5;0;56.25
298435;5;0;59.14
303435;6;0;57.06
308435;4;0;57.71
313435;6;0;57.05
318436;9;0;58.79
323435;4;0;57.1
328435;5;0;56.31
333439;4;0;65.91
338435;5;0;66.27
343435;4;0;65.89
348435;6;0;65.28
353435;4;0;66.19
358435;6;0;66.58
363437;6;0;65.46
368435;5;0;66.65
373435;4;0;65.81
378435;5;0;68.61
383436;5;0;67.62
388435;5;0;66.58
393435;4;0;66.08
398435;4;0;66.04
403435;3;0;66.28
408437;3;0;68.22
413435;5;0;65.68
418435;4;0;68.9
423436;5;0;69.11
428435;4;0;65.72
433435;4;0;64.87
438435;5;0;67.74
443435;4;0;65.62
448435;7;0;67.36
453435;7;0;65.69
458435;4;0;66.93
463435;4;0;66.14
468435;11;0;66.96
473435;3;0;66.93
478435;5;0;66.34
483435;6;0;67.12
488435;4;0;67.89
493435;4;0;66.74
498435;5;0;64.88
503435;5;0;66.43
508435;5;0;67.08
513462;5;0;70.96
518435;8;0;66.51
523435;4;0;66.04
528435;4;0;66.36
533435;11;0;66.29
538435;4;0;66.42
543435;5;0;66.18
548435;3;0;67.32
553435;5;0;67.62
558435;8;0;68.69
563435;4;0;66.31
568435;6;0;66.76
573435;4;0;65.93
578435;5;0;66.35
583435;4;0;66.64
588435;5;0;66.85
593435;7;0;68.86
598436;4;0;67.11
603435;5;0;66.77
608435;5;0;66.08
613435;4;0;65.91
618435;7;0;68.01
623435;15;0;64.81
628435;6;0;68
633435;3;0;66.81
638435;5;0;65.96
643435;5;0;68.43
