time;roundtrip_time [ms];bitrate [b/s];frame_size [b];framerate [fps];decode_time [ms];codec
60878;4;420683;0;0;0;video/VP8
65878;4;1000281;4132;30;12.13;video/VP8
70878;5;1701938;7131;30;13.38;video/VP8
75878;5;2052805;8567;30;12.79;video/VP8
80878;4;2158752;8992;30;13.83;video/VP8
85878;4;2586101;10753;30;12.9;video/VP8
90878;5;2550255;10720;30;12.48;video/VP8
95879;5;2573286;10731;30;12.98;video/VP8
100878;6;2568522;10694;30;13.7;video/VP8
105878;4;2509604;10959;29;13.16;video/VP8
110878;4;2587286;11020;29;13.71;video/VP8
115878;5;2566364;10679;30;12.67;video/VP8
120879;8;2562768;10666;30;13.17;video/VP8
125878;7;2456925;10910;29;12.82;video/VP8
130878;5;2681152;11098;30;13.03;video/VP8
135878;5;2517976;10499;30;12.65;video/VP8
140878;5;2515281;10967;29;13.26;video/VP8
145878;4;2599307;10835;30;13.21;video/VP8
150878;5;2536614;10565;30;13.06;video/VP8
155878;4;2561418;10693;30;13.26;video/VP8
160878;5;2575270;10728;30;12.73;video/VP8
165880;4;2559227;10666;30;13.13;video/VP8
170878;4;2583127;10747;30;13.12;video/VP8
175878;8;2574612;10737;30;13.02;video/VP8
180878;4;2572185;10707;30;13.09;video/VP8
185878;6;2544136;10608;30;12.91;video/VP8
190879;4;2567095;10684;30;13.57;video/VP8
195878;4;2560928;10691;30;13.11;video/VP8
200879;4;2564452;10736;30;13.11;video/VP8
205878;6;2585772;10790;30;12.9;video/VP8
210878;4;2569145;10699;30;12.28;video/VP8
215878;4;2569046;10699;30;13.49;video/VP8
220878;4;2579331;10755;30;13.55;video/VP8
225879;8;2564238;10673;30;13.28;video/VP8
230878;4;2556604;10670;30;13.21;video/VP8
235878;4;2574744;10709;30;12.69;video/VP8
240878;5;2573184;10749;30;13.12;video/VP8
245879;5;2571286;10695;30;13.07;video/VP8
250881;4;2565313;10691;30;12.51;video/VP8
255878;6;2572847;10726;30;12.62;video/VP8
260878;5;2568696;10695;30;12.79;video/VP8
265878;5;2570063;10720;30;12.94;video/VP8
270878;4;2574327;10714;30;12.99;video/VP8
275878;4;2559839;10759;30;12.61;video/VP8
280878;4;2571324;10625;30;12.97;video/VP8
285878;4;2572738;10737;30;13.29;video/VP8
290878;5;2567731;10682;30;13.4;video/VP8
