time;encoding-0 [ms];roundtrip_time [ms];bitrate [b/s]
22036;1027.2;1;-10529
26140;9.76;1;0
31146;10.02;1;0
36140;10.06;1;0
41149;9.74;0;0
46140;9.56;0;0
51145;10.36;0;0
56140;10.34;1;0
61144;9.98;0;0
66141;10.09;1;0
71147;9.69;0;0
76142;9.8;1;0
81141;9.31;1;0
86142;9.66;1;0
91145;9.65;0;0
96143;10.12;1;0
101146;9.57;0;0
106141;9.61;1;0
111141;9.63;1;0
116142;9.63;0;0
121142;9.59;1;0
126141;9.38;1;0
131140;10.15;0;0
136141;9.66;0;0
141142;9.5;1;0
146142;9.8;0;0
151141;9.37;0;0
156141;9.58;0;0
161141;9.79;0;0
166144;9.75;0;0
171141;9.83;0;0
176148;9.62;0;0
181142;9.21;0;0
186153;9.89;0;0
191141;9.42;0;0
196152;9.86;0;0
201141;9.98;0;0
206145;9.44;0;0
211141;9.19;1;0
216146;9.87;1;0
221141;9.65;0;0
226147;9.73;0;0
231141;9.78;1;0
236159;9.98;1;0
241141;9.52;0;0
246145;8.68;1;0
251141;10.31;0;0
256145;9.69;0;0
261142;9.6;0;0
266152;9.65;0;0
271142;9.69;0;0
276141;9.36;0;0
281141;9.35;0;0
286142;9.59;0;0
291141;9.58;1;0
296142;9.47;0;0
301141;9.51;1;0
306140;9.66;0;0
311141;9.56;0;0
316149;9.82;1;0
321141;9.58;0;0
326142;9.53;0;0
331153;9.47;0;0
336142;9.27;1;0
341152;9.82;0;0
346141;9.93;0;0
351149;9.68;1;0
356141;9.11;0;0
361146;10.2;0;0
366142;9.44;1;0
371148;9.48;0;0
376142;9.62;1;0
381145;9.83;0;0
386142;9.52;0;0
391144;9.64;0;0
396142;9.03;0;0
401148;9.69;1;0
406141;9.47;1;0
411144;9.52;1;0
416142;9.55;1;0
421141;9.54;0;0
426141;9.64;0;0
431143;9.62;1;0
436141;9.62;0;0
441148;9.57;0;0
446141;9.53;1;0
451145;9.59;0;0
456141;9.67;0;0
461150;9.53;0;0
466141;9.88;1;0
471149;9.51;1;0
476142;9.62;1;0
481153;9.51;0;0
486141;9.39;1;0
491141;9.76;1;0
496141;9.69;1;0
501142;9.57;1;0
506151;9.68;0;0
511142;9.3;1;0
516148;9.54;0;0
521142;9.69;0;0
526151;9.77;0;0
531141;9.8;0;0
536146;9.49;0;0
541142;9.34;1;0
546145;9.62;0;0
551142;9.3;0;0
556147;9.76;0;0
561142;9.52;0;0
566144;9.79;0;0
571141;9.37;1;0
576142;9.52;1;0
581142;9.31;1;0
586144;9.55;1;0
591142;9.47;0;0
596143;9.54;1;0
601141;9.55;0;0
606142;9.43;0;0
611141;9.57;0;0
616142;9.62;0;0
621141;9.9;0;0
626141;9.31;1;0
631141;9.94;0;0
636141;9.67;1;0
641141;9.31;0;0
646142;9.58;0;0
651141;9.75;1;0
656142;10.02;1;0
