time;roundtrip_time [ms];bitrate [b/s];decoding-1 [ms];render-1 [ms];fps-1
31376;0;0
36376;0;1887219;1.01;1.71;31
41376;0;2714381;0.89;0.5;30
46376;1;2731374;0.89;0.48;30
51376;1;2713839;0.86;0.46;30
56376;1;2732084;0.82;0.43;30
61377;0;2730664;0.83;0.42;30
66376;0;2714816;0.76;0.38;30
71375;0;2732576;0.78;0.37;30
76375;0;2713784;0.79;0.37;30
81376;0;2713676;0.76;0.37;30
86375;1;2732139;0.78;0.36;30
91375;0;2732139;0.76;0.35;30
96375;1;2713567;0.8;0.37;30
101375;0;2714001;0.79;0.36;30
106375;1;2731975;0.78;0.35;30
111375;0;2731920;0.76;0.34;30
116375;1;2713459;0.8;0.34;30
121375;1;2731866;0.82;0.34;30
126376;1;2713350;0.8;0.34;30
131375;0;2732303;0.77;0.33;30
136374;0;2714599;0.82;0.34;30
141375;0;2731319;0.8;0.34;30
146375;0;2714110;0.82;0.35;30
151375;0;2731374;0.77;0.34;30
156375;0;2714436;0.78;0.35;30
161375;0;2731975;0.81;0.33;30
166375;0;2713567;0.78;0.33;30
171376;1;2731374;0.78;0.34;30
176376;0;2714273;0.79;0.34;30
181375;1;2731975;0.79;0.34;30
186376;0;2713459;0.85;0.34;30
191375;0;2732139;0.82;0.34;30
196375;0;2731210;0.85;0.33;30
201376;1;2714599;0.83;0.33;30
206375;0;2731702;0.83;0.33;30
211375;1;2714110;0.85;0.33;30
216376;0;2713676;0.85;0.33;30
221376;1;2731756;0.83;0.33;30
226375;1;2732248;0.82;0.34;30
231375;1;2714164;0.83;0.33;30
236375;0;2731756;0.84;0.33;30
241376;1;2713296;0.84;0.34;30
246376;1;2732248;0.8;0.33;30
251376;1;2713567;0.82;0.32;30
256376;1;2731647;0.85;0.34;30
261376;1;2714490;0.85;0.33;30
266375;0;2731702;0.82;0.33;30
271376;0;2713947;0.86;0.33;30
276375;0;2732303;0.81;0.33;30
281375;1;2713839;0.84;0.34;30
286375;0;2731756;0.93;0.36;30
291375;0;2713730;0.89;0.34;30
296376;0;2713621;0.8;0.33;30
301375;1;2732030;0.84;0.34;30
306376;0;2731811;0.88;0.34;30
311376;0;2714110;0.85;0.33;30
316376;1;2731702;0.85;0.34;30
321375;0;2714381;0.85;0.32;30
326375;0;2731538;0.82;0.34;30
331375;0;2713839;0.86;0.33;30
336375;1;2731866;0.82;0.34;30
341376;0;2713242;0.84;0.33;30
346376;0;2732467;0.86;0.33;30
351375;1;2713567;0.83;0.33;30
356375;0;2732303;0.83;0.34;30
361375;0;2713893;0.84;0.34;30
366375;0;2731975;0.87;0.33;30
371375;1;2731866;0.91;0.33;30
376375;0;2713839;0.85;0.33;30
381375;1;2732030;0.85;0.33;30
386376;1;2713404;0.89;0.33;30
391376;0;2731210;0.86;0.32;30
396375;1;2714870;0.83;0.33;30
401375;0;2732139;0.85;0.33;30
406380;0;2710640;0.85;0.33;30
411375;1;2734983;0.86;0.34;30
416380;1;2710694;0.85;0.34;30
421375;1;2735422;0.86;0.34;30
426375;0;2713784;0.87;0.34;30
431375;0;2731538;0.85;0.34;30
436375;0;2713676;0.86;0.32;30
441375;0;2731811;0.87;0.33;30
446376;0;2714273;0.87;0.33;30
451376;0;2731920;0.85;0.33;30
456382;1;2710099;0.85;0.34;30
461380;1;2732904;0.89;0.34;30
466376;1;2716501;0.87;0.33;30
471376;0;2731811;0.84;0.34;30
476376;0;2714273;0.85;0.33;30
481382;1;2728210;0.87;0.33;30
486377;0;2716609;0.84;0.33;30
491377;1;2731975;0.86;0.34;30
496377;1;2714219;0.85;0.33;30
501376;0;2732139;0.85;0.33;30
506376;1;2713404;0.84;0.33;30
511376;1;2732139;0.84;0.33;30
516376;0;2713567;0.88;0.35;30
521377;0;2731975;0.83;0.33;30
526376;0;2714273;0.85;0.34;30
531376;0;2731592;0.87;0.34;30
536376;0;2731592;0.87;0.33;30
541376;0;2714273;0.86;0.34;30
546375;0;2714436;0.85;0.33;30
551376;0;2731538;0.85;0.33;30
556376;1;2731647;0.91;0.35;30
561376;0;2713730;0.83;0.34;30
566375;0;2732576;0.85;0.34;30
571375;0;2713784;0.87;0.34;30
576377;0;2731265;0.89;0.34;30
581376;1;2714164;0.85;0.34;30
586376;1;2731920;0.85;0.34;30
591375;0;2713893;0.85;0.34;30
596375;0;2732248;0.87;0.33;30
601376;0;2713025;0.89;0.33;30
606376;0;2732193;0.82;0.34;30
611376;0;2713621;0.85;0.32;30
616377;1;2731920;0.83;0.33;30
621376;0;2713947;0.85;0.34;30
626377;0;2731647;0.85;0.34;30
631376;1;2714273;0.84;0.34;30
636375;1;2732139;0.87;0.33;30
641378;0;2712428;0.84;0.33;30
646376;1;2733342;0.85;0.33;30
651380;0;2728101;0.84;0.36;30
656379;1;2715740;0.87;0.34;30
661375;0;2715848;0.83;0.36;30
666376;0;2731483;0.86;0.35;30
671375;1;2714381;0.85;0.34;30
676376;0;2731538;0.85;0.33;30
681375;1;2714273;0.91;0.35;30
686375;1;2731866;0.85;0.34;30
691376;0;2713296;0.86;0.35;30
