time;encoding-0 [ms];roundtrip_time [ms];bitrate [b/s]
15061;205.77;0;-356737
20061;9.91;1;0
25061;9.57;0;0
30061;9.6;1;0
35061;9.73;1;0
40062;9.76;1;0
45061;9.61;0;0
50069;9.82;0;0
55068;9.43;1;0
60070;9.55;0;0
65066;9.79;0;0
70067;9.53;0;0
75062;9.74;1;0
80067;9.72;1;0
85062;9.84;1;0
90065;9.46;0;0
95061;9.4;0;0
100066;9.65;0;0
105061;9.6;1;0
110064;9.49;1;0
115062;9.94;1;0
120065;9.89;0;0
125061;9.6;0;0
130061;9.19;1;0
135067;9.13;1;0
140061;9.47;1;0
145061;9.51;1;0
150062;9.57;1;0
155061;10.22;0;0
160062;9.64;0;0
165062;10.11;1;0
170062;9.21;1;0
175061;9.81;0;0
180061;9.37;0;0
185061;9.73;1;0
190063;9.84;0;0
195061;9.5;1;0
200061;9.33;1;0
205063;9.05;1;0
210062;9.51;0;0
215072;9.85;0;0
220063;9.79;0;0
225069;9.63;0;0
230064;9.81;1;0
235066;8.84;0;0
240062;9.77;0;0
245066;9.55;1;0
250062;9.81;0;0
255065;9.34;0;0
260062;9.86;1;0
265065;10.01;1;0
270063;9.66;0;0
275068;9.66;0;0
280061;9.44;1;0
285062;10.01;0;0
290062;9.76;0;0
295063;9.42;0;0
300062;9.68;0;0
305063;9.6;1;0
310062;9.4;1;0
315061;9.43;1;0
320062;9.67;0;0
325063;9.66;0;0
330062;9.73;1;0
335063;9.75;1;0
340062;9.17;0;0
345077;8.82;0;0
350061;9.43;1;0
355061;9.69;1;0
360062;9.55;0;0
365062;9.77;0;0
370061;9.85;0;0
375062;9.88;0;0
380070;9.68;0;0
385062;9.05;0;0
390068;9.36;0;0
395061;9.6;0;0
400067;9.81;1;0
405061;9.66;1;0
410066;9.61;0;0
415062;9.48;0;0
420066;9.19;0;0
425062;9.35;0;0
430063;9.87;0;0
435062;9.66;0;0
440064;10.04;0;0
445061;9.58;1;0
450063;9.86;0;0
455062;9.27;0;0
460065;9.63;0;0
465061;9.34;1;0
470061;10;0;0
475061;9.78;0;0
480062;9.59;1;0
485064;7.87;0;0
490063;10.92;1;0
495062;9.56;0;0
500061;9.46;0;0
505069;9.62;0;0
510062;9.36;1;0
515062;9.8;0;0
520064;9.83;0;0
525063;9.62;1;0
530062;9.41;0;0
535062;9.38;0;0
540063;9.39;1;0
545076;9.9;1;0
550066;9.73;0;0
555076;9.64;0;0
560062;9.64;1;0
565068;9.67;0;0
570063;9.28;0;0
575066;9.53;0;0
580062;9.59;1;0
585066;9.67;1;0
590062;9.73;1;0
595065;9.45;0;0
600061;9.82;0;0
605066;9.73;0;0
610062;9.49;0;0
615073;9.79;0;0
620062;8.77;0;0
625062;9.89;0;0
630062;9.6;0;0
635062;9.32;1;0
640061;9.32;1;0
645062;9.87;1;0
650062;9.76;0;0
655061;9.5;1;0
660062;9.59;0;0
665062;9.73;1;0
670062;9.41;1;0
675061;9.51;1;0
