time;roundtrip_time [ms];bitrate [b/s];decoding-1 [ms];render-1 [ms];fps-1
17894;1;0
22882;0;28772;0.11;8.28;23
27884;1;83337;0.08;0.47;30
32883;1;83362;0.05;0.43;30
37882;0;83911;0.06;0.37;30
42882;0;83921;0.06;0.37;30
47890;0;83204;0.06;0.35;30
52882;0;84055;0.04;0.34;30
57887;0;83249;0.05;0.32;30
62882;0;83432;0.05;0.32;30
67892;1;83728;0.05;0.31;30
72882;0;83532;0.05;0.3;30
77882;0;83907;0.06;0.3;30
82881;1;83912;0.04;0.3;30
87881;0;83362;0.04;0.29;30
92885;0;83834;0.05;0.28;30
97882;1;83394;0.05;0.28;30
102881;1;83933;0.04;0.3;30
107882;0;83337;0.04;0.27;30
112884;0;83875;0.05;0.27;30
117882;1;83387;0.04;0.27;30
122881;0;83894;0.04;0.26;30
127882;0;83357;0.04;0.27;30
132886;0;83822;0.04;0.27;30
137881;0;83439;0.03;0.26;30
142881;0;83897;0.04;0.26;30
147885;1;83845;0.04;0.26;30
152881;0;83419;0.05;0.25;30
157882;1;83339;0.04;0.25;30
162881;1;83922;0.03;0.25;30
167882;0;83339;0.05;0.25;30
172882;0;83896;0.04;0.26;30
177882;1;83362;0.04;0.25;30
182881;0;83897;0.04;0.25;30
187882;1;83354;0.03;0.25;30
192882;1;83906;0.04;0.25;30
197881;0;83345;0.04;0.25;30
202882;0;83902;0.06;0.28;30
207881;0;83917;0.06;0.25;30
212889;0;83230;0.04;0.26;30
217882;0;83466;0.04;0.26;30
222881;1;83911;0.04;0.26;30
227881;0;83917;0.04;0.25;30
232881;0;83340;0.04;0.25;30
237881;0;83902;0.04;0.26;30
242882;1;83344;0.05;0.25;30
247882;1;83917;0.04;0.25;30
252881;0;83352;0.03;0.26;30
257882;1;83887;0.04;0.26;30
262882;0;83355;0.04;0.25;30
267881;1;83926;0.05;0.25;30
272883;0;83312;0.04;0.25;30
277882;0;83934;0.04;0.26;30
282885;1;83297;0.04;0.25;30
287881;0;83969;0.04;0.26;30
292882;0;83340;0.05;0.26;30
297881;0;83901;0.04;0.25;30
302881;0;83367;0.04;0.25;30
307881;0;83891;0.04;0.26;30
312882;1;83345;0.05;0.24;30
317882;1;83914;0.04;0.26;30
322882;0;83345;0.05;0.25;30
327882;1;83907;0.04;0.26;30
332882;0;83339;0.04;0.23;30
337882;1;83372;0.04;0.25;30
342888;0;84341;0.04;0.27;31
347882;0;83452;0.04;0.26;30
352881;0;83370;0.04;0.25;30
357884;1;83855;0.03;0.25;30
362882;1;83946;0.04;0.25;30
367886;1;83292;0.04;0.25;30
372882;1;83963;0.03;0.25;30
377882;0;83350;0.04;0.25;30
382882;0;83354;0.04;0.25;30
387885;1;83849;0.04;0.25;30
392882;0;83964;0.04;0.25;30
397889;0;83219;0.04;0.25;30
402881;0;84044;0.04;0.24;30
407881;0;83349;0.03;0.24;30
412881;0;83909;0.03;0.25;30
417881;0;83352;0.04;0.25;30
422882;1;83894;0.04;0.25;30
427882;1;83339;0.04;0.26;30
432882;0;83917;0.04;0.26;30
437882;1;83354;0.04;0.24;30
442882;0;83899;0.03;0.25;30
447883;1;83339;0.03;0.26;30
452882;0;83896;0.04;0.24;30
457881;0;83369;0.04;0.24;30
462881;1;83919;0.04;0.25;30
467881;0;83345;0.04;0.25;30
472882;1;83896;0.04;0.25;30
477882;1;83349;0.04;0.25;30
482882;0;83907;0.05;0.25;30
487882;0;83354;0.04;0.25;30
492881;1;83914;0.04;0.25;30
497882;0;83350;0.03;0.26;30
502882;0;83899;0.04;0.25;30
507882;1;83906;0.04;0.25;30
512882;0;83364;0.04;0.25;30
517881;0;83904;0.04;0.24;30
522882;1;83334;0.03;0.25;30
527882;0;83914;0.04;0.25;30
532882;0;83359;0.05;0.24;30
537882;1;83904;0.04;0.25;30
542887;0;83237;0.04;0.25;30
547881;0;83460;0.04;0.25;30
552881;0;83902;0.03;0.26;30
557882;0;83894;0.03;0.25;30
562894;0;83683;0.04;0.25;30
567881;0;83576;0.03;0.26;30
572882;0;83347;0.04;0.26;30
577882;0;83902;0.03;0.26;30
582882;0;83355;0.04;0.24;30
587881;1;83916;0.04;0.26;30
592881;0;83357;0.04;0.24;30
597881;1;83887;0.04;0.26;30
602882;0;83349;0.05;0.25;30
607881;0;83927;0.04;0.24;30
612882;0;83345;0.04;0.25;30
617881;1;83914;0.03;0.25;30
622881;0;83342;0.03;0.25;30
627882;1;83894;0.04;0.24;30
632888;1;83797;0.05;0.25;30
637882;0;83440;0.04;0.25;30
642881;0;83374;0.04;0.25;30
647884;0;83860;0.04;0.25;30
652881;1;83397;0.05;0.24;30
