time;encoding-0 [ms];roundtrip_time [ms];bitrate [b/s]
18539;729.33;1;-2420
23320;12.42;0;0
28312;9.03;0;0
33319;8.78;1;0
38313;9.15;0;0
43331;9.17;0;0
48322;8.3;1;0
53315;8.89;0;0
58313;8.56;1;0
63313;9.26;0;0
68312;8.57;0;0
73321;8.74;0;0
78312;8.97;0;0
83313;8.47;0;0
88312;9.15;0;0
93312;8.2;0;0
98312;9.56;0;0
103316;8.73;0;0
108312;9.49;0;0
113312;8.42;1;0
118313;9.22;1;0
123313;7.94;0;0
128313;9.87;0;0
133312;8.27;0;0
138312;8.82;1;0
143312;9.22;0;0
148313;8.53;0;0
153313;8.98;0;0
158312;8.59;0;0
163313;9.56;0;0
168312;8.82;0;0
173313;8.86;0;0
178312;9.02;1;0
183318;8.77;0;0
188320;8.68;1;0
193312;8.67;0;0
198322;9.81;1;0
203327;9.14;0;0
208316;9.75;0;0
213312;8.4;1;0
218315;8.45;1;0
223312;8.67;0;0
228313;8.87;1;0
233312;8.7;0;0
238312;8.99;1;0
243311;8.99;0;0
248314;8.2;0;0
253312;9.39;0;0
258316;8.8;0;0
263312;9.4;0;0
268312;8.05;1;0
273312;9.33;1;0
278312;8.1;0;0
283312;9.78;0;0
288315;8.75;1;0
293312;8.75;0;0
298312;9.05;0;0
303312;8.83;1;0
308313;9.25;1;0
313318;8.67;0;0
318312;9;0;0
323312;9.08;1;0
328312;7.98;1;0
333312;9.11;0;0
338312;8.39;0;0
343312;9.27;0;0
348312;9.05;0;0
353320;9.3;0;0
358312;8.32;0;0
363317;8.86;0;0
368312;8.3;1;0
373317;8.73;0;0
378312;9.02;0;0
383316;8.79;0;0
388314;9.25;0;0
393315;7.92;0;0
398312;9.67;1;0
403317;8.56;1;0
408325;9.6;1;0
413314;8.52;0;0
418312;8.7;0;0
423312;8.56;0;0
428323;8.93;0;0
433315;8.46;1;0
438312;8.35;1;0
443312;9.17;0;0
448320;8.9;1;0
453312;8.39;1;0
458312;9.53;1;0
463312;8.23;0;0
468312;8.7;1;0
473313;9.21;1;0
478312;8.45;1;0
483312;9.18;0;0
488312;8.53;0;0
493312;8.62;0;0
498312;9.46;0;0
503312;8.73;1;0
508312;8.65;1;0
513312;9.03;1;0
518320;7.78;0;0
523313;9.95;0;0
528323;8.21;1;0
533312;9.35;1;0
538317;8.98;0;0
543312;8.18;0;0
548316;9.43;1;0
553312;8.47;0;0
558314;9.37;0;0
563312;8.85;0;0
568314;8.37;0;0
573312;9.54;0;0
578314;8.23;0;0
583322;8.49;0;0
588316;9.21;0;0
593320;8.25;0;0
598320;9.07;1;0
603321;8.71;0;0
608313;9.01;1;0
613312;9.19;0;0
618314;8.41;1;0
623313;9.33;1;0
628312;8.25;0;0
633312;8.78;0;0
638316;9.13;0;0
643313;8.97;0;0
648312;9.42;0;0
653312;8.42;0;0
