time;roundtrip_time [ms];bitrate [b/s];frame_size [b];framerate [fps];decode_time [ms];codec
20208;1;473936;0;0;0;video/VP8
25209;0;1358754;5701;30;0.97;video/VP8
30208;1;1871792;7797;30;1.8;video/VP8
35209;1;1910695;7963;30;2.09;video/VP8
40208;1;2596541;10817;30;2.99;video/VP8
45208;0;2578701;10745;30;3.14;video/VP8
50209;1;2572853;10651;30;3.14;video/VP8
55208;0;2564161;10754;30;2.95;video/VP8
60208;0;2579505;10747;30;2.95;video/VP8
65207;1;2567927;10699;30;2.96;video/VP8
70208;1;2566519;10695;30;3.11;video/VP8
75208;0;2573643;10723;30;2.89;video/VP8
80208;1;2564709;10686;30;2.95;video/VP8
85208;0;2569997;10709;30;3.03;video/VP8
90208;0;2584196;10767;30;2.97;video/VP8
95208;1;2568227;10700;30;2.88;video/VP8
100208;0;2568241;10702;30;2.99;video/VP8
105208;0;2557261;10655;30;3.16;video/VP8
110209;0;2567835;10701;30;2.96;video/VP8
115208;0;2570600;10709;30;2.94;video/VP8
120208;1;2577586;10670;30;2.94;video/VP8
125208;1;2563085;10751;30;2.98;video/VP8
130208;1;2572104;10646;30;2.94;video/VP8
135208;0;2577863;10812;30;3.05;video/VP8
140208;0;2569832;10637;30;2.96;video/VP8
145208;0;2567906;10771;30;2.95;video/VP8
150209;0;2565692;10692;30;2.91;video/VP8
155209;1;2569802;10638;30;2.93;video/VP8
160208;0;2570744;10780;30;3.08;video/VP8
165208;0;2567716;10700;30;3.11;video/VP8
170208;1;2562994;10682;30;3;video/VP8
175209;1;2566717;10692;30;3.05;video/VP8
180209;0;2576843;10738;30;3.05;video/VP8
185208;1;2572209;10714;30;3.12;video/VP8
190209;0;2569349;10707;30;3.14;video/VP8
195208;0;2570166;10709;30;3.12;video/VP8
200209;0;2577038;10738;30;3.07;video/VP8
205209;0;2575450;10731;30;2.92;video/VP8
210208;0;2559907;10664;30;2.9;video/VP8
215209;1;2573047;10652;30;3.06;video/VP8
220208;0;2563639;10758;30;3.07;video/VP8
225207;0;2564457;10679;30;2.97;video/VP8
230208;1;2573360;10725;30;2.89;video/VP8
235207;1;2581225;10682;30;3.01;video/VP8
240207;0;2547294;10684;30;3.04;video/VP8
245207;0;2575985;10735;30;2.95;video/VP8
250207;1;2576594;10736;30;2.94;video/VP8
255207;0;2580494;10680;30;3.12;video/VP8
260207;1;2563793;10683;30;3.16;video/VP8
265207;0;2568234;10701;30;2.95;video/VP8
270207;1;2563389;10753;30;2.95;video/VP8
275207;0;2566754;10694;30;2.98;video/VP8
280208;0;2573394;10722;30;3.05;video/VP8
285207;1;2578197;10670;30;3;video/VP8
290208;0;2568708;10704;30;2.97;video/VP8
295208;0;2568867;10775;30;2.98;video/VP8
300208;1;2574380;10657;30;3.02;video/VP8
305207;1;2562575;10748;30;2.92;video/VP8
310207;0;2567546;10697;30;2.99;video/VP8
315208;1;2580761;10683;30;3.01;video/VP8
320207;0;2562495;10676;30;3.09;video/VP8
325208;1;2576857;10739;30;2.99;video/VP8
330208;0;2566587;10766;30;3.04;video/VP8
335207;1;2568178;10698;30;3.06;video/VP8
340208;0;2563401;10682;30;2.85;video/VP8
345209;0;2565671;10693;30;2.84;video/VP8
350208;1;2577113;10734;30;2.96;video/VP8
355208;1;2551551;10633;30;3.04;video/VP8
360208;1;2587443;10710;30;2.87;video/VP8
365208;1;2565301;10759;30;2.81;video/VP8
370207;1;2572560;10648;30;2.86;video/VP8
375208;0;2561970;10746;30;2.95;video/VP8
380209;0;2580560;10685;30;2.91;video/VP8
385208;1;2562536;10747;30;2.94;video/VP8
390209;1;2572568;10719;30;2.92;video/VP8
395208;1;2568745;10702;30;2.98;video/VP8
400209;1;2568960;10635;30;2.82;video/VP8
405208;0;2563543;10752;30;2.82;video/VP8
410208;0;2575760;10732;30;2.94;video/VP8
415209;0;2564780;10689;30;2.96;video/VP8
420208;0;2568181;10700;30;2.81;video/VP8
425208;0;2572894;10717;30;2.85;video/VP8
430208;1;2578930;10679;30;2.87;video/VP8
435208;1;2569773;10704;30;2.97;video/VP8
440209;1;2558741;10662;30;2.91;video/VP8
445208;0;2561107;10741;30;2.99;video/VP8
450208;0;2580504;10682;30;3.08;video/VP8
455210;0;2566849;10770;30;2.98;video/VP8
460208;1;2571859;10714;30;2.97;video/VP8
465208;0;2570562;10710;30;3.07;video/VP8
470209;1;2558040;10589;30;3.08;video/VP8
475208;1;2574585;10725;30;2.96;video/VP8
480208;0;2566798;10701;30;2.9;video/VP8
485209;1;2575977;10731;30;2.96;video/VP8
490208;1;2565895;10691;30;3.08;video/VP8
495208;1;2569438;10776;30;2.91;video/VP8
500208;0;2579001;10674;30;2.86;video/VP8
505209;0;2563532;10682;30;2.89;video/VP8
