time;roundtrip_time [ms];bitrate [b/s];encode_time [ms]
14757;0;0;0
19757;0;0;9.75
24756;1;0;12.44
29757;0;0;13.15
34758;1;0;12.41
39757;0;0;12.83
44756;0;0;12.87
49757;0;0;13.85
54757;1;0;13.24
59757;1;0;14.76
64757;1;0;13.94
69757;1;0;12.85
74757;0;0;12.59
79757;0;0;13.33
84757;0;0;13.55
89756;0;0;12.69
94757;1;0;14.11
99756;0;0;14.19
104757;0;0;12.93
109756;0;0;12.45
114757;1;0;12.41
119757;0;0;12.94
124757;1;0;13.06
129756;0;0;14.67
134756;0;0;14.09
139757;1;0;13.31
144757;0;0;12.79
149757;0;0;12.13
154757;0;0;12.13
159756;0;0;12.87
164756;0;0;14.48
169755;0;0;13.97
174757;1;0;13.54
179756;0;0;12.96
184756;1;0;13.47
189757;0;0;12.69
194756;1;0;13.85
199756;1;0;13.38
204756;1;0;13.6
209756;0;0;14.01
214756;0;0;13.33
219757;1;0;13.01
224756;0;0;13.37
229757;0;0;12.51
234757;0;0;14.09
239758;1;0;14.04
244756;0;0;13.58
249757;0;0;13.27
254758;1;0;13.39
259756;1;0;13.12
264757;0;0;13.48
269756;1;0;13.26
274757;1;0;13.81
279756;0;0;13.89
284756;1;0;13.08
289756;0;0;13.09
294756;0;0;12.91
299756;1;0;13.17
304757;1;0;13.07
309756;0;0;13.82
314756;1;0;13.87
319756;0;0;13.31
324756;1;0;13.14
329756;0;0;12.98
334756;1;0;12.81
339757;0;0;13.21
344756;0;0;13.81
349757;0;0;13.96
354757;1;0;14.41
359756;0;0;13.62
364756;1;0;12.67
369757;0;0;13.61
374757;1;0;12.94
379756;0;0;13.62
384757;0;0;13.98
389757;0;0;14.49
394756;1;0;13.49
399757;1;0;11.15
404756;1;0;12.83
409757;1;0;14.39
414756;0;0;12.56
419756;1;0;14.25
424756;1;0;14.67
429756;0;0;14.43
434757;1;0;12.99
439756;1;0;12.98
444757;1;0;12.5
449756;0;0;13.73
454757;1;0;13.63
459756;0;0;13.68
464757;1;0;13.77
469756;0;0;13.75
474756;0;0;13.15
479756;0;0;12.84
484757;1;0;12.77
489756;0;0;13.65
494756;0;0;14.57
499756;0;0;13.9
504756;0;0;14.19
509756;1;0;13
514757;0;0;12.66
519756;0;0;13.59
524757;1;0;12.96
529757;0;0;14.99
534756;1;0;13.72
539756;0;0;13.87
544756;0;0;13.05
549756;1;0;12.95
554756;1;0;13.64
559756;0;0;13.53
564756;0;0;14.23
569756;1;0;13.92
574756;0;0;13.39
579756;0;0;13.42
584756;0;0;13.03
589756;0;0;13.32
594757;1;0;13.77
599756;1;0;14.71
604757;0;0;14.11
609757;1;0;14.16
614756;0;0;13.91
619756;0;0;13.39
624757;1;0;13.69
629756;1;0;13.64
634757;0;0;14.41
639758;0;0;14.25
644757;0;0;13.77
649756;0;0;13.61
654757;1;0;13.01
659756;0;0;12.95
664756;1;0;12.79
669757;0;0;13.5
674756;1;0;14.79
679757;0;0;14.97
684757;0;0;13.18
