time,roundtrip_time [ms],bitrate [b/s],decoding-1 [ms],render-1 [ms],fps-1
12481,0,0
17484,1.02,0,1796130,3.18,31
22482,0.95,1,2715468,2.93,30
27481,0.91,1,2729736,2.93,30
32481,0.97,1,2716229,2.92,30
37481,0.9,1,2732303,3,30
42481,0.94,0,2713187,2.91,30
47481,0.91,1,2732084,2.95,30
52482,0.8,0,2713296,2.91,30
57482,0.81,1,2732521,2.96,30
62481,0.79,0,2729300,2.9,30
67481,0.87,1,2716446,2.92,30
72481,0.81,0,2713784,2.89,30
77485,0.81,0,2730282,2.92,30
82481,0.87,0,2733232,2.92,30
87482,0.84,0,2713730,2.93,30
92484,0.84,0,2731210,2.92,30
97481,0.78,0,2715305,2.86,30
102482,0.82,1,2712916,2.9,30
107482,0.86,0,2732084,2.93,30
112482,0.81,1,2732357,2.92,30
117491,0.83,0,2708692,2.93,30
122484,0.8,1,2735860,2.92,30
127481,0.79,1,2715576,2.9,30
132481,0.83,0,2713296,2.88,30
137481,0.83,1,2732084,2.92,30
142481,0.8,0,2714219,2.88,30
147481,0.81,0,2731374,2.92,30
152482,0.85,0,2731538,2.93,30
157482,0.82,0,2713513,2.91,30
162482,0.83,0,2732576,2.91,30
167482,0.86,1,2713893,2.93,30
172481,0.85,0,2732084,2.92,30
177481,0.8,1,2713621,2.91,30
182481,0.81,1,2732084,2.88,30
187481,0.79,1,2713730,2.88,30
192482,0.81,1,2731811,2.91,30
197482,0.82,1,2713676,2.91,30
202482,0.79,0,2732193,2.88,30
207482,0.84,1,2713676,2.91,30
212481,0.84,0,2732248,2.91,30
217482,0.81,0,2713676,2.92,30
222481,0.8,1,2732139,2.9,30
227484,0.81,0,2730118,2.88,30
232481,0.83,1,2715631,2.89,30
237482,0.8,1,2728864,2.9,30
242482,0.78,0,2716773,2.93,30
247485,0.75,0,2727066,2.87,30
252481,0.75,0,2718678,2.89,30
257481,0.75,1,2713567,2.88,30
262481,0.77,0,2732576,2.9,30
267483,0.8,1,2730773,2.9,30
272482,0.78,1,2714056,2.91,30
277485,0.76,1,2730500,2.9,30
282486,0.8,1,2712970,2.91,30
287484,0.8,1,2730664,2.9,30
292481,0.77,0,2717589,2.86,30
297480,0.77,0,2732631,2.9,30
302491,0.78,1,2722826,2.92,30
307481,0.81,0,2722605,2.95,30
312481,0.75,0,2713730,2.89,30
317481,0.78,0,2732084,2.92,30
322481,0.78,0,2713784,2.89,30
327482,0.79,0,2731592,2.89,30
332481,0.77,1,2713947,2.89,30
337481,0.76,0,2732030,2.89,30
342481,0.77,1,2714273,2.91,30
347480,0.78,1,2731975,2.91,30
352481,0.77,1,2713730,2.93,30
357481,0.76,0,2713784,2.89,30
362481,0.78,0,2731483,2.91,30
367482,0.75,1,2731647,2.88,30
372481,0.79,1,2714219,2.93,30
377483,0.8,1,2731155,2.91,30
382482,0.79,0,2714653,2.93,30
387481,0.78,1,2732084,2.92,30
392482,0.75,0,2728918,2.9,30
397481,0.78,1,2717045,2.9,30
402482,0.78,0,2713133,2.9,30
407489,0.76,0,2728537,2.91,30
412484,0.75,0,2734053,2.88,30
417482,0.75,1,2715196,2.93,30
422484,0.75,0,2731101,2.91,30
427481,0.77,0,2715142,2.9,30
432484,0.75,0,2730282,2.88,30
437481,0.77,0,2715522,2.87,30
442480,0.73,0,2732139,2.89,30
447480,0.76,0,2713513,2.92,30
452481,0.8,0,2732030,2.91,30
457481,0.76,1,2713459,2.9,30
462481,0.76,0,2713893,2.9,30
467489,0.78,1,2727665,2.9,30
472481,0.77,0,2717752,2.89,30
477482,0.78,0,2731702,2.89,30
482481,0.74,1,2732849,2.89,30
487481,0.76,0,2713730,2.91,30
492481,0.77,0,2731866,2.9,30
497481,0.76,0,2713350,2.89,30
502481,0.79,0,2730118,2.89,30
507481,0.78,0,2716120,2.92,30
512483,0.76,0,2730719,2.88,30
517481,0.78,1,2714762,2.92,30
522485,0.79,0,2730173,2.91,30
527481,0.77,0,2715413,2.91,30
532480,0.79,0,2732576,2.91,30
537481,0.74,0,2713621,2.9,30
542481,0.79,0,2731920,2.87,30
547480,0.76,0,2713839,2.89,30
552481,0.75,0,2732030,2.89,30
557481,0.78,1,2713567,2.88,30
562482,0.76,0,2731756,2.87,30
567482,0.79,1,2729573,2.93,30
572481,0.78,1,2716773,2.9,30
577485,0.76,1,2729082,2.9,30
582485,0.77,1,2714816,2.9,30
587483,0.74,0,2732685,2.86,30
592482,0.73,0,2714599,2.87,30
597483,0.77,0,2731101,2.92,30
602482,0.79,0,2714273,2.95,30
607481,0.74,0,2732412,2.87,30
612481,0.75,0,2711182,2.89,30
617481,0.76,1,2732303,2.89,30
622482,0.77,1,2715576,2.88,30
627482,0.77,0,2714001,2.87,30
